                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.395,                  0.999,                      1,                 4.1347,              0.0002379,              0.0002379,              0.0002379
                      2,                0.01568,                 0.9988,                      1,                 4.1302,             0.00038168,             0.00038168,             0.00038168
                      3,                0.00542,                 0.9995,                 0.9999,                 4.1299,              0.0004312,              0.0004312,              0.0004312
                      4,                0.00481,                      1,                      1,                 4.1284,             0.00028988,             0.00028988,             0.00028988
                      5,                0.00266,                 0.9999,                      1,                 4.1285,             0.00028988,             0.00028988,             0.00028988
